"","WTeamID","LTeamID","Pred"
"1",1101,1400,0.279991638383984
"2",1104,1233,0.923710981746713
"3",1104,1268,0.719274678062624
"4",1116,1159,0.759300134975679
"5",1116,1331,0.892614625057826
"6",1116,1403,0.599634024499295
"7",1124,1116,0.661016714617749
"8",1124,1211,0.51594680978607
"9",1124,1216,0.92824534322025
"10",1124,1222,0.579143560205948
"11",1124,1437,0.776536995168086
"12",1124,1458,0.753107457137277
"13",1160,1207,0.684340807085841
"14",1166,1325,0.74992961254107
"15",1166,1364,0.758857408788847
"16",1179,1455,0.636937672954426
"17",1196,1439,0.539626895135072
"18",1199,1160,0.410215946331416
"19",1199,1422,0.748243264821066
"20",1211,1166,0.723074644506659
"21",1211,1313,0.944610950686377
"22",1211,1328,0.784183818813955
"23",1211,1417,0.845330790124114
"24",1211,1425,0.744461653121836
"25",1222,1156,0.939714259025817
"26",1222,1333,0.857434376869718
"27",1222,1353,0.784352372741444
"28",1222,1393,0.75273838990683
"29",1228,1180,0.923374457145937
"30",1234,1213,0.860295468000186
"31",1242,1186,0.857752639081572
"32",1260,1210,0.577776702921853
"33",1260,1228,0.367909950937492
"34",1261,1382,0.565148126268202
"35",1268,1163,0.397709097232222
"36",1276,1199,0.58630007000498
"37",1276,1261,0.58561102300871
"38",1276,1411,0.916702690876394
"39",1313,1111,0.399288746688043
"40",1317,1345,0.342616457234227
"41",1325,1438,0.304599437059282
"42",1328,1281,0.580882054995025
"43",1329,1251,0.748449035457957
"44",1331,1196,0.295392267099614
"45",1331,1326,0.168141694291296
"46",1332,1234,0.419451067897152
"47",1332,1433,0.539877063231334
"48",1333,1260,0.276145527160621
"49",1333,1329,0.3043472975762
"50",1333,1397,0.2781546453895
"51",1353,1155,0.494609997743427
"52",1393,1361,0.393015739874023
"53",1393,1452,0.491749517347377
"54",1403,1429,0.650693258522599
"55",1411,1291,0.480693279094988
"56",1417,1101,0.538118688958149
"57",1417,1104,0.222375777294364
"58",1417,1140,0.449008392008136
"59",1417,1276,0.304580726838779
"60",1417,1277,0.577783895490329
"61",1425,1179,0.662090169359302
"62",1425,1242,0.477726379360001
"63",1425,1332,0.538790494845772
"64",1437,1317,0.680805062749421
"65",1437,1457,0.682124847149952
"66",1452,1287,0.8147174312724
"67",1458,1314,0.506080395460412
