"","mtry","trees","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
"1",60,395,32,11,0.0293550733512085,3.06705197056268e-06,0.566516400825232,"mn_log_loss","binary",0.562804673174615,5,0.011005982437948,"Preprocessor1_Model40"
"2",58,1090,34,8,0.00971873333038243,9.64942999818728e-05,0.352887772949878,"mn_log_loss","binary",0.56632392108739,5,0.0118912050042868,"Preprocessor1_Model38"
"3",31,1944,30,12,0.0145949601592268,0.000816771372569896,0.406122478623875,"mn_log_loss","binary",0.570173299179066,5,0.0123676374326377,"Preprocessor1_Model20"
"4",38,294,19,4,0.00455415434577449,7.21667657268631e-10,0.750099020520691,"mn_log_loss","binary",0.575342175726944,5,0.00552743289400018,"Preprocessor1_Model25"
"5",64,275,11,3,0.0575668643685383,2.36466623492823e-08,0.949235056310426,"mn_log_loss","binary",0.575828907045028,5,0.00913041212090511,"Preprocessor1_Model42"
"6",7,1427,22,12,0.00104635052210522,0.0072790080239881,0.382905696540605,"mn_log_loss","binary",0.581487724729239,5,0.00583991965454848,"Preprocessor1_Model04"
"7",72,606,4,4,0.0231816124607448,0.113455444789051,0.925494118697476,"mn_log_loss","binary",0.582875171362451,5,0.0103945553286095,"Preprocessor1_Model48"
"8",10,1224,30,12,0.00106559679041342,3.59003217156905,0.523334565873724,"mn_log_loss","binary",0.58585294762573,5,0.00536825254988852,"Preprocessor1_Model06"
"9",25,148,32,11,0.00686221962907411,0.267103906148736,0.852863075105939,"mn_log_loss","binary",0.588107904565273,5,0.00473484719237469,"Preprocessor1_Model16"
"10",32,1960,11,13,0.000520465373651578,1.1724201015189e-06,0.157023536825553,"mn_log_loss","binary",0.597448598041457,5,0.00460586267025438,"Preprocessor1_Model21"
"11",55,1393,35,5,0.0930228185008061,0.00181773725088342,0.825059636746068,"mn_log_loss","binary",0.647796415534653,5,0.0181736436218425,"Preprocessor1_Model37"
"12",67,1860,24,10,0.000142457663128246,0.000697831485633563,0.619413020272274,"mn_log_loss","binary",0.648190275701322,5,0.00161994978989542,"Preprocessor1_Model45"
"13",23,1912,5,5,0.000105254650429984,0.0647455851928556,0.472910610636696,"mn_log_loss","binary",0.656310206596231,5,0.00131114527714899,"Preprocessor1_Model15"
"14",20,749,13,15,0.000259055779899208,3.82364262141702e-10,0.5105503714527,"mn_log_loss","binary",0.657797378963382,5,0.00125566115144995,"Preprocessor1_Model13"
"15",16,66,10,14,0.00251037829177799,0.00262979060284434,0.304526502863504,"mn_log_loss","binary",0.663305538290883,5,0.00108671821077005,"Preprocessor1_Model11"
"16",14,671,38,9,0.000434387133822713,1.75167332161989e-06,0.285285677375272,"mn_log_loss","binary",0.664537352697892,5,0.00105830178343831,"Preprocessor1_Model09"
"17",28,893,6,6,7.31314472508057e-05,4.72537114492398e-08,0.808440338906366,"mn_log_loss","binary",0.679297847895924,5,0.00047825790568699,"Preprocessor1_Model18"
"18",8,1741,14,7,3.80344449580679e-05,3.86367594895611e-09,0.705350621562451,"mn_log_loss","binary",0.679859330999251,5,0.000450997835667882,"Preprocessor1_Model05"
"19",61,21,9,2,0.00231865983794363,4.46528084120305e-07,0.729994439307135,"mn_log_loss","binary",0.684074921855395,5,0.00031161923447781,"Preprocessor1_Model41"
"20",75,500,26,4,3.76467499822367e-05,16.2757403427823,0.652080577579327,"mn_log_loss","binary",0.689502598905025,5,0.000107690899510748,"Preprocessor1_Model50"
